WKT,element
"POLYGON ((378744.049 4658033.479 0.0,378766.229 4658033.959 0.0,378748.999 4658016.999 0.0,378744.049 4658033.479 0.0))",178
"POLYGON ((378744.049 4658033.479 0.0,378756.589 4658050.339 0.0,378766.229 4658033.959 0.0,378744.049 4658033.479 0.0))",179
"POLYGON ((378773.409 4658158.999 0.0,378747.349 4658165.739 0.0,378767.689 4658178.499 0.0,378773.409 4658158.999 0.0))",180
"POLYGON ((378773.409 4658158.999 0.0,378756.449 4658152.129 0.0,378747.349 4658165.739 0.0,378773.409 4658158.999 0.0))",181
"POLYGON ((378370.819 4656773.259 0.0,378374.909 4656799.319 0.0,378391.929 4656777.599 0.0,378370.819 4656773.259 0.0))",182
"POLYGON ((378766.229 4658033.959 0.0,378790.019 4658032.569 0.0,378774.689 4658015.999 0.0,378766.229 4658033.959 0.0))",183
"POLYGON ((378422.809 4656709.059 0.0,378390.619 4656713.349 0.0,378419.749 4656734.459 0.0,378422.809 4656709.059 0.0))",184
"POLYGON ((378233.919 4656530.119 0.0,378222.029 4656500.509 0.0,378206.209 4656527.039 0.0,378233.919 4656530.119 0.0))",185
"POLYGON ((378814.189 4658025.499 0.0,378790.019 4658032.569 0.0,378808.309 4658044.499 0.0,378814.189 4658025.499 0.0))",186
"POLYGON ((378446.079 4656834.829 0.0,378426.319 4656809.089 0.0,378414.079 4656823.079 0.0,378446.079 4656834.829 0.0))",187
"POLYGON ((378446.079 4656834.829 0.0,378447.409 4656806.139 0.0,378426.319 4656809.089 0.0,378446.079 4656834.829 0.0))",188
"POLYGON ((378986.919 4657532.829 0.0,378980.129 4657522.039 0.0,378973.319 4657538.109 0.0,378986.919 4657532.829 0.0))",189
"POLYGON ((378866.909 4657551.009 0.0,378867.329 4657570.559 0.0,378883.029 4657559.829 0.0,378866.909 4657551.009 0.0))",190
"POLYGON ((378851.599 4657564.889 0.0,378867.329 4657570.559 0.0,378866.909 4657551.009 0.0,378851.599 4657564.889 0.0))",191
"POLYGON ((378973.779 4657506.419 0.0,378991.059 4657499.989 0.0,378979.929 4657490.399 0.0,378973.779 4657506.419 0.0))",192
"POLYGON ((379194.119 4658025.199 0.0,379122.409 4658050.999 0.0,379139.309 4658088.999 0.0,379194.119 4658025.199 0.0))",193
"POLYGON ((378757.999 4657381.129 0.0,378730.379 4657378.509 0.0,378747.589 4657401.409 0.0,378757.999 4657381.129 0.0))",194
"POLYGON ((377426.854 4655189.069 0.0,377351.82 4655089.299 0.0,377324.763 4655212.459 0.0,377426.854 4655189.069 0.0))",195
"POLYGON ((377098.121 4653991.642 0.0,376934.39 4653910.623 0.0,376968.642 4654098.401 0.0,377098.121 4653991.642 0.0))",196
